country,CPI_2015,Risk_Dec_15,Risk_Nov_14,year,electric_percap,food_prod_index,percent_forest,gdp,income_bottom_20,literacy_male,literacy_female,childmort,net_migration,pop,undernourish,school_complete,researchers,rural_pop,total_debt,urban_pop,row_na
Afghanistan,89,,,2012,,122.13,2.06782464846981,20001615788.6719,,,,82.6,448007.0,31161376.0,23.4,,,75.84,0.601426330681703,7528588.0,8
Albania,64,67.8,66.3,2012,2118.32777605579,133.04,28.262043973825307,12319784886.2038,8.9,98.3526077270508,99.0201873779297,10.7,-93425.0,2900401.0,6.0,98.9116973876953,,45.67,14.215342021061401,1575788.0,1
Algeria,64,64.3,68.3,2012,1237.96650680011,149.67,0.8116754772443171,209058991952.125,,,,26.1,-143268.0,37383887.0,5.0,101.450180053711,,31.085,1.09339306898077,25763106.0,4
Angola,85,59.0,65.8,2012,219.253430320483,152.82,46.7076268849763,128052853643.106,,,,105.8,87322.0,25107931.0,35.1,,,38.732,5.856512691187018,15383127.0,5
Argentina,68,66.5,63.8,2012,3000.60352326565,108.03,10.2322149715989,545982375701.128,4.9,99.1111297607422,99.6142807006836,13.3,30000.0,41733271.0,3.7,103.23136901855499,1199.36089,8.879,,38027774.0,1
Armenia,65,60.8,63.0,2012,1892.01342889209,135.35,11.640322932788301,10619320048.5857,9.0,,,16.3,-30535.0,2884229.0,5.1,93.8983993530273,,36.76,29.1536221721607,1823986.0,3
Australia,21,77.5,78.5,2012,10407.7403070759,108.39,16.1184801426656,1546151783872.96,,,,4.3,913107.0,22733465.0,2.5,,,14.598,,19414834.0,6
Austria,24,77.8,79.5,2012,8548.88219928111,99.33,46.80088081547,409425234155.2629,7.8,,,4.1,267172.0,8429991.0,2.5,96.62232208251949,4661.04799,42.853,,4817487.0,3
Azerbaijan,71,68.5,75.8,2012,2052.65096521176,138.14,12.8328778254808,69683935845.2138,,99.8528518676758,99.9176712036133,32.6,0.0,9295784.0,2.5,91.9911880493164,,46.117,3.42173937175295,5008847.0,2
Bahrain,49,68.8,70.5,2012,17849.244159167,165.67,0.727272730369073,30749308510.6383,,,,8.0,42000.0,1299943.0,,93.21469116210942,,11.238,,1153855.0,6
Bangladesh,75,66.0,64.0,2012,283.46216563492,132.49,11.037873925083597,133355749482.478,,61.5428695678711,79.36920166015629,43.6,-2526483.0,151007807.0,17.0,,,68.007,5.91883264768914,48311928.0,3
Belarus,68,57.8,59.3,2012,3697.39748396507,138.95,42.2542004075083,65685102554.8759,9.5,,,4.8,75799.0,9464495.0,2.5,103.321632385254,,24.303,9.52337098292322,7164339.0,3
Belgium,23,75.0,76.0,2012,7988.524643889059,100.5,22.525760141672503,497884216568.867,8.7,,,4.3,258672.0,11106932.0,2.5,,4113.93461,2.256,,10856360.0,4
Benin,63,,,2012,93.12127720456921,145.65,39.5619013834693,8152554487.31321,,44.9602584838867,40.938381195068395,110.5,-42268.0,9729248.0,10.8,73.0413818359375,,55.875,4.32372194109493,4293031.0,4
Bhutan,35,,,2012,,100.78,71.494344708479,1823692109.61652,6.7,66.003059387207,84.4877395629883,38.1,10000.0,701583.0,,97.69799041748051,,63.629,17.4810172186516,255173.0,5
Bolivia,66,70.5,73.8,2012,654.4817934188729,135.44,51.3532724083818,27084497539.7974,3.4,97.10704803466801,98.82861328125,42.2,-61794.0,10377676.0,22.9,98.73998260498051,,32.685,5.24719551529489,6985733.0,1
Bosnia and Herzegovina,62,,,2012,3479.08388747541,100.97,42.67578125,17226849297.07,,,,6.6,-161371.0,3604972.0,2.5,,158.24241999999995,53.801,17.0951710655735,1665461.0,6
Botswana,37,77.8,79.5,2012,1756.2689042833401,127.23,19.6682716802975,16067155187.0375,,,,46.0,15000.0,2039551.0,25.2,100.890068054199,168.33268,35.232,0.7812608095659681,1320976.0,3
Brazil,62,63.5,67.5,2012,2501.47405281669,127.29,59.401972209127905,2465188674415.03,3.4,91.0256729125977,99.0208206176758,17.3,15924.0,199287296.0,2.5,,783.4824,15.077,15.6882018437941,169240750.0,1
Bulgaria,59,70.5,69.3,2012,4761.9125833848,104.96,34.7402349147361,53903022339.0276,6.2,,,9.8,-24472.0,7305888.0,5.0,101.94010925292999,1545.74665,27.025,13.8840911576282,5331472.0,2
Burkina Faso,62,59.3,63.0,2012,,132.26,20.2097949647067,11166063466.5623,,,,103.2,-125000.0,16571246.0,20.3,57.366031646728494,,74.233,2.09388658674855,4269913.0,5
Burundi,79,,,2012,,98.47,10.2102808491835,2333308099.46249,,,,79.9,-70000.0,9245988.0,,63.941471099853494,,88.806,8.912545344438179,1034996.0,8
Cambodia,79,,,2012,207.233147236208,172.88,55.739860612466,14054443213.4639,,,,38.1,-149999.0,14780454.0,18.8,93.21322631835942,,78.96300000000002,6.0084218787243415,3109364.0,6
Cameroon,73,63.0,63.5,2012,247.425375138479,155.87,41.2007361807451,29104437355.0395,,,,101.5,-36000.0,21485266.0,8.7,76.2927169799805,,47.231,3.12662233109225,11337560.0,4
Canada,17,81.3,82.0,2012,15336.624856521299,108.73,38.1820454917848,1823966686523.63,,,,5.5,1145721.0,34714222.0,2.5,,4630.2789600000015,18.863,,28166078.0,5
Cape Verde,45,,,2012,,96.19,21.5930512761951,1751888561.72747,,90.4745025634766,98.3981781005859,23.3,-11052.0,505235.0,14.7,89.8574676513672,,37.179,4.59505293219791,317394.0,5
Central African Republic,76,,,2012,,121.3,35.6621412906514,2510270267.72918,,,,142.9,-396129.0,4436415.0,38.6,43.73009872436521,,60.612,,1747415.0,8
Chad,78,,,2012,,161.95,4.17312563904662,12368071038.7362,,,,142.2,100000.0,12784750.0,37.7,34.5937309265137,,77.858,,2830799.0,8
Chile,30,74.3,75.8,2012,3807.5102755134703,111.36,22.638701363109607,267122320056.702,,,,8.4,80820.0,17400347.0,3.8,96.46617889404301,392.72731,12.811,,15171189.0,4
China,63,,,2012,3474.988061701569,127.7,21.6968597851907,8532230724141.76,5.4,,,13.5,-1698448.0,1350695000.0,10.4,,1020.9558,48.235,3.07716646393558,699187267.0,5
Colombia,63,65.8,68.5,2012,1170.04531212725,111.81,52.800261942316396,370574421703.06,3.5,,,17.4,-144998.0,46076848.0,10.0,113.191528320313,,21.299,21.3359270565583,36262940.0,3
